Application Code,Application,DBAG_Application Level,Application Type,DBAG_Authenticity,DBAG_Availability,Comment,DBAG_Confidentiality,DBAG_Control of Source Code,DBAG_Current State,Generic Local name,DBAG_Integrity,OwningLegalEntity,DBAG_Long Description,DBG-Max Criticality,DBAG - Number of Message Flows,DBAG_DecomStatus
AID37,Dataserver,Application,Not set,Minor,Major,Data collection and consolidation,Major,Internal,onboarding,Dataserver,Major,LE16,"Central Data Store of Clearstream systems
Support systems should get the data from Dataserver in order to reduce performance impact on core systems and maintenance impact on downstream applications.",Major,74,not initiated
AID38,Datawarehouse (MURES),Application,Not set,Minor,Major,Data and reports for Hedge Funds business,Major,Internal,onboarding,Datawarehouse (MURES),None,LE17,Data and reports (from data extracted and consolidated from CDS and Corona) for Hedge Funds business,Major,7,not initiated
AID39,DBG CRM System,Application,Not set,Major,Major,"DBG CRM System was fromerly known as SAP CRM. 
SAP CRM is a part of the SAP product portfolio. 
Deutsche Börse Group uses CRM to support sales, services and marketing. (Admission, Customer Masterdata, Connection Management, helpdesk)
",Major,External,minimum maintained data,DBG CRM System,Major,LE18,"SAP CRM aims to provide the customer master and unifies customer identity across business units. Company and personal admission processes are managed using SAP CRM as well as technical customer connection management and internal / external service desk functionality.

DBG currently uses both CRM 4 and CRM 7. Migration is an ongoing effort.

The external customer portal is effectively a front-end to SAP CRM. The internal employee portal only partly.

Services supported by CRM include:
 
·	Management of bandwidth, tokens, sessions (reflected in Installed Base)
·	Management of lines and connection detailes (reflected in Installed Base)
·	Generation of transaction independent billing events (pricing in ERP)
·	Management of certificates
·	Sales - account plans
·	Campaign management
·	Opportunity management (for Clearstream)
·	Sales products (pricing in SAP)
·	Mapping of customer number to local system account numbers
·	Sales reporting
·	Client master data
·	Group structures (based on D&B - to be verified whether this structure is also used by Risk)
·	Help desk (internal)
·	Help desk (external), incident management
Data Ownership 
·	MD&S for static data and contracts
·	C&D for admission data, clearing, market supervision related data, sales, account planning
·	Clearstream for beneficial owners, ""KV Nummern"", client services, opportunity management, sales, account planning
·	IT (I&O) for Help Desk and Incident Management
 
 ",Major,10,not initiated
AID40,DDR,Application,Not set,Critical,Major,Depository Daily Reconciliation,Minor,Internal,onboarding,DDR,Critical,LE19,"Depository Daily Reconciliation
Reconciliation of the position of the securities in our Custodian accounts.
The reconciliation permits to compare the security positions between our books and our Custodian, highlighting the differences and permitting the follow-up of the discrepancies until their closure. Custodians provides their balances through MT535( Holdings), MT536 (transactions) and custom CSV files
DDR also reconciles movements for CTAs to have a more correct view of positions kept before reconciliation.",Critical,41,not initiated
AID41,deutsche-boerse.com,Application,Not set,Minor,None,,None,,onboarding,deutsche-boerse.com,Minor,LE20,,Minor,0,not initiated
AID42,DWH/PND/PND2,Application,Not set,Major,Critical,PND is the datawarehouse for all legacy tading and clearing systems,Critical,Internal,onboarding,DWH/PND/PND2,Critical,LE21,"The main purpose of PND is to provide historical data to market and clearing operations and survaillance. Several application use the PND as there back end:
·	   Xetra Observer
·	  Eurex Observer
·	  Hotfire (Decomissioned)

Further PND acts as a data distribution hub for downstream system such as Statistix,
It delivers data to Statistix such as orderbook and trades to Statistix. 
Supports ad hoc analysis 
 
Addtionally PND is the source for various 3rd parties such as 
·	EEX TSO
·	SAP Billing
·	Xetra Customers via CRE
 The PND runs in several instances. There is are dedicated instance for Xetra, Certificates and Warrant, and the Irish Stock exchange",Critical,25,not initiated
AID43,EA Tool,Application,Business Application,Minor,Minor,"The Enterprise Architecture Repository of Deutsche Boerse is dubbed EA Tool or MEGA. Data is provided and maintained via browser. 
Contained is a quantity structure of ca. 110 major applications, 400 technologies and more than 1000 of components and more than 1000 interfaces. 
Most data of the EA tool can be seen in DBG intranet on the static website http:mega. 
MEGA is the name of the company that offers the product used to run the Enterprise Architecture repository. 
For the application an oracle database based application server on a virtual machine provides GUI accessed over an IIE webserver.
",Minor,,to be retired,EA Tool,Minor,LE1,"EA tool purpose is to 
–Document existing functional, application and technology architecture and maintain it on high level and provide group-wide visibility into current DBG IT landscape
–Support impact analysis for new projects and initiatives
–Identify opportunities for consolidations, improvements and re-use.

""Mega"" application runs on the product ITPM (Information Technology Portfolio Managment) from company www.mega.com.
Provision is by access via web browser and a GUI based on Mega proprietary ""HOPEX"" technology. 
Data is stored in an Oracle database and on the Application Server. 
Central entity is ""application"" with its components, used technology, interfaces to others and data flow. 

Accordingly ""MEGA"" application has as major components: Oracle-database, IIS to implement GUI access and a manual refreshed data export to static website. 
Currently there is no automated interface providing data to MEGA. All data is kept on a high level e.g. preferable without version number.",Minor,1,not initiated
AID44,ECM,Application,Not set,None,None,CGSS Content Management,None,,onboarding,ECM,None,LE2,Enterprise Content Management based on IBM product,None,7,not initiated
AID45,EDRE,Application,Not set,Critical,Critical,"Event Driven Risk Engine for real time calculation of risk exposure for derivates positions
 ",Critical,Internal,onboarding,EDRE,Critical,LE3,"The EDRE Event Driven Risk Engine does real time calculation of risk exposure for derivates positions (Eurex, EEX and KRX). It is the realtime part of the legacy risk solution and shares the master data with risk engine. EDRE was developed based on Xetra. Unlike the Risk Engine EDRE is completely RMS based and does not have any RDB as a database.
 
 ",Critical,8,not initiated
AID46,EIB,Application,Not set,Minor,Major,"The European Installation Bus (EIB) application is based on named standard technology. 
In German this aka ""Europäischer Installationsbus"", ""Instabus"" in French ""Le Bus EIB"".
",Minor,,onboarding,EIB,Minor,LE4,"EIB is used for lighting control. There is schedule and sensor based automated operation and monitoring. 
In addition there is an interactive control within media support. 
Media support staff members are able to influence light in video equipped rooms to improve managed video conferencing.

System is assisted operated  / monitored by one standalone PC (with RAID disk) to support EIB located in Cube.",Major,0,not initiated
AID47,EK-Neu,Application,Not set,Minor,Minor,"EK-Neu is a short name for ""Engagement Kontrolle/Exposure Control"". This application is used to monitor the delivery risk/exposure for certain equity trades (non CCP eligable). In order to monitor the exposure EK-Neu manages positions per member and instrument and calculates margin based on the positions. The margin is compared against the provided security. In case of a shortfall of the margin market supervision needs to follow up with the members in order to cover the margin shortfall. This process is a manual process. 
 
 
Functions Supported: 
·	Monitoring of the total delivery risks by Member in Euro
·	Total risk exposure by trading instrument (Gattung)  in Euro
·	Occupation of pledged security (as provided by KUSTA) by position and member
·	Identification of members which exceed pledged security deposits
·	Reporting of margin results for members and risk control
 
Note:
EK-Neu provides a direct database access to this data which is currently not covered in the repository. It is assumed that this supports the manual risk management process. 
   
 ",Minor,Internal,onboarding,EK-Neu,Minor,LE5,,Minor,6,not initiated
AID48,Elements,Application,Not set,None,None,"Regulatory reporting platform, General Ledger workflow management, Claims workflow management",None,Internal,onboarding,Elements,None,LE6,"Elements is less a single application but more a business cloud based mostly on Microsoft technology.
Type is in addition to Message driven (aka event driven) and Batch (aka scheduled execution)
Style is in addition to Recoverable Transactions Data Warehosing, Reporting & Analytics and Graphical User Interfaces.",None,0,not initiated
AID49,eListing,Application,Not set,Critical,Minor,"eListing applications' main purpose is to enable and support electronic listing/delisting of securities on DBAG trading platforms, mainly on Floor (Xetra2) and Xetra classic. 
Data entered by applicants and listing agents are being processed, validated, published and forwarded to other departments and organizations.",Minor,,onboarding,eListing,Critical,LE7,"There are two interconnected frontends:

Elli (eListing) 
External frontend for DBAG customers, mainly specialists. 
Elli is used to gather listing/delisting/change data from applicants, 
do some basic validation and to enable communication between applicants and 
listing agents during data processing. 

Applicants can track the progress of their applications, make changes to their 
portfolio of listed securities and do some other administrative tasks.

Intelli 
Multi-purpose internal frontend for DBAG used by listing agents, 
market supervision and some other departments to process data from applicants, 
publish it and forward it to other interested parties like Statistix and WSS. 
Listing agents use it to validate and enrich applicants' data and forward 
it to market supervision. Market supervision functionality includes reclustering, 
changes of security categories etc. 
",Critical,9,not initiated
AID50,eListingStructuredProducts,Application,Not set,Minor,Major,"External frontend for customers listing securities on BFZ exchange, data delivered by file transfer or using special GUI is processed automatically and forwarded to market supervision. ",Minor,,onboarding,eListingStructuredProducts,Minor,LE8,,Major,0,not initiated
AID51,Employee Portal,Application,Not set,Major,Major,Internal portal for all DBG employees providing access to SAP,Major,,onboarding,Employee Portal,Major,LE9,"Portal is used for entering time information, travel expenses, viewing vacation balances, performance feedbacks etc.",Major,0,not initiated
AID52,Eurex Classic,Application,Not set,Critical,Critical,"Eurex Derivatives Clearing System

 
 ",Critical,Internal,onboarding,Eurex Classic,Critical,LE10,"  Eurex Clearing classic system is DBGs reliable clearing infrastructure. It provides the whole chain of back office clearing functionality from position and trade management to collateral management.
Please be aware, that trading functionality has already been migrated away from Eurex to T7, the new trading architecture. In line with that, the Eurex Clearing classic system will in the mid-term be replaced by C7, our new clearing architecture, in a stepwise approach.

There are two possibilities to perform back office activities on the Eurex Clearing classic system:
·	Via Clearing GUI (Graphical User Interface) “@X-tract”, provided by Deutsche Börse. Connection has to be established by using the WebTrading service, which is offered via Leased Line or Internet
·	Via the Eurex Clearing FIXML Interface with an third party or self-developed back office solution. FIXML is embedded into a Multi-Interface-Channel (MIC) on a Eurex Leased Line or via a VPN Internet connection.",Critical,37,not initiated
AID53,F7,Application,Not set,Critical,Critical,F7 is DBGs new web based trading system for repo. ,Major,,onboarding,F7,Critical,LE11,"The F7 platform curently supports the following markets:  COSI/SecLend TriParty Market, Euro Repo, GC Pooling and SecLend CCP.

Eurex Repo’s F7 offers a new lightweight GUI solution which can easily be run in a regular web browser. In addition a programming interface allows third party software developers to create customized software solutions to connect to Eurex Repo’s F7 system. While the new interface differs from the existing API, the migration effort is minimized by using the standard message protocol AMQP and limiting the number of message types to the core trading functionality. 
  ",Critical,15,not initiated
AID54,Fair Price Calculation,Application,Not set,Minor,Minor,"This application is supposed to cover the price cclculation engines used by Market Supervision.  This includes currently 3 application by different providers:
RTD - is going to be decomissionon in the course of 2016
Sol-3 Is in production for fair price calculation since 30.5.2016
Orc to replace RTD. 
 
 ",Minor,,onboarding,Fair Price Calculation,Minor,LE12,,Minor,2,not initiated
AID55,FD7,Application,Not set,Major,Major,"Eurex Repo Data Warehouse and Business Intelligence system, connected with F7.",Major,Internal,onboarding,FD7,Major,LE13,,Major,3,not initiated
AID56,GAIN,Application,Not set,Critical,Critical," GAIN is the master for market prices, instrument ratings and issuer ratings.",Minor,Internal,onboarding,GAIN,Critical,LE14,"Corporate market prices and issue rating data maintenance & publication to downstream systems.
Issuer rating data maintenance & publication to downstream systems.",Critical,31,not initiated
AID57,General STP Services,Application,Not set,Minor,Minor,General STP Services,Minor,Internal,onboarding,General STP Services,Minor,LE15,"1. CEDAR:
The CEDAR application is used to reflect changes in relationships between Clearstream customers. E.g. it is used if two customers merge and their accounts have to be pooled.
 
Via IMS-online CBF can define the following change-parameters for the necessary account realignments:
 
·       Change-date
·       Account old / account new
·       stock exchange trades of the current day (LION)
·       pending stock exchange trades of the day before and older pending positions
(LION)
·       CBF final balances (CASCADE DISPOSITION)
·       CBF pending cash-instructions (KV-GELD, CASH LIFECYCLE)
·       Customer master data parameters (KUSTA).
 
2. FC Interface (Foreign Currency Interface):
 
The FC Interface components comprises the following functionality for CSC business:
 
·       Automatic instruction entry and update (via realtime interface to CASCADE and LION) for OTC instructions and SE trades in foreign currency (= non-€) for monitoring foreign currency cash processing of their cash leg
 
·       Automatic cash provisioning via realtime interface to CBL platform via LIMA
 
·       Online operations on OTC instructions and SE trades in foreign currency (cash leg):
o   Information (browsing)
o   Contingency Status Update (Confirmation / Rejection) 
 
·       Automatic instruction update in source systems CASCADE Lifecycle (OTC instructions in foreign currency) and LION (SE trades in foreign currency), triggering further settlement processing of the security leg.
 
3. Price Services (“Kursermittlungsmodul”):
 
Banking Function:
 
The Price Services components comprise the following functionality:
·       Processing of price requests by retrieving master data information according to a set of rules which include:
 
o   priority of price types (e.g. daily price, end of month price, manual price, etc.)
o   priority of price markets
(e.g. XETRA, Frankfurt, Düsseldorf, etc.)
 
·       Information to be retrieved, calculated and delivered consider various price categories such as:
 
o   spot prices
o   variable prices
o   manual prices
o   exchange rates
 
4. Position Reports (“KVAB”):
 
The Position Reports components comprise the following functionality for CSC business:
 
·       Online management of position report requests by /for
 
o   customers
o   audit purposes
o   Operations

for reports on:
 
o   current positions
o   past positions
 
on a
 
o   single request or
o   standing request (e.g.mid month, end of month)
o   basis.
 
·       Daily and monthly batch processing of the position requests generating formatted reports 
 
 
5. CT-Service IMS22 to IMS25   (Clearstream Technology, Testunit.CBF):
 
The CT-Service has been applied within the new source transfer procedure concerning IMS24 and IMS25 (2005) and has been extended to IMS22 and IMS23 (2014).
 
The environments IMS22 to IMS25 are setup and used for CBF system testing (STT), business acceptance testing (BAT), simulation and customer training.
 
In order to assure total version control of the modules being delivered from TSCM this service has been established for the transfer of source modules as it is used for the CORGZ procedure in production.
 
The CT-Service components comprise the following functionality:
 
·       Selection 
 
o   Source copy from TSCM
o   Source copy from PANV.LIB.IMS
 
·       Compile 
 
o   Compilation for IMS22
o   Compilation for IMS23
o   Compilation for IMS24
o   Compilation for IMS25
 ",Minor,9,not initiated
AID58,GridLoss,Application,Not set,Minor,Minor,"This is an auction system for the TSOs where the loss on the grids is compensated.
",Minor,,onboarding,GridLoss,Minor,LE16,,Minor,0,not initiated
AID59,HUB,Application,Not set,Critical,Critical,Handles routing and transformation to external delivery channels,Critical,Internal,onboarding,HUB,Critical,LE17,"The HUB is responsible to do the connection between the backend systems and the external world.
The HUB is making the routing of all reports and depositories instructions to the required channel (delivery system)
The HUB is also responsible to do the mapping from internal formats of messages to external standard formats",Critical,760,not initiated
AID60,Import/PI2,Application,Not set,Critical,Critical,"Manual processing of messages and instructions, and associated cross-unit workflows.
Handling of Customers' Foreign Exchange instructions, of realignments of securities with Euroclear Bank, of syndicated new issues distribution, of disposal of securities, and of the European Pre-issuance Messaging System (EPIM).",Critical,Internal,onboarding,Import/PI2,Critical,LE18,"All units in the operations generate internally instructions and messages using Local IT applications for different reasons:
· Securities management (new issues, securities events, income processing)
· Custody management (realignments)
· Treasury (placements, cash instructions).
All units in the operations handle messages not processed automatically.
The Local IT applications family offers the following services:
· The manual generation of internal instructions of any type and the manual generation of messages, using the Instructor application
· The handling of incoming not automatically processed messages, using the PI2 Import application
· The Front End function for the European Pre-issuance Messaging System (EPIM), using the PI2 Import application
· The handling of Clearstream Customers' Foreign Exchange instructions, using the CFX application
· The realignments of securities that have to be repatriated from / to Euroclear Bank, using the Depmanager application
· The handling of the launch of a new issue from its creation until the closing date, using the New Issues Management application
Service 1: Instructor
The Instructor application provides the Operations Units with the Front End
· to generate internal instructions of any type (credit and debit, cash and security, single and multiple, bridge)
· to generate SWIFT, COL and LinkUp messages (MT x99, MT 565, 567 and 568)
This is done using reference data like balances from the Clearing and Settlement Core systems or from other information systems like Dataserver, NCCIP, RDF and AM. 
Service 2: PI2 Import
The PI2 Import application provides the Operations Units with
· The routing and the tracking of the not automatically processed incoming SWIFT, COL and LUP messages among the teams and users. Daily average 2,900 messages in average.
· The authorisation of instructions and messages (4-eyes)
· The reply function to incoming messages.
The PI2 Import application plays a central role for the other Local IT Applications and for other satellite applications providing:
· The validation of instructions created through other applications; their authorisation and submission to RTS and NCCIP systems
· The validation of outgoing SWIFT, COL and LUP messages created through other applications; their authorisation and submission to Company connectivity systems.
Daily 900 Cash and Security instructions in average. Daily 3,000 outgoing messages in average.
The PI2 Import application provides the Users with a full local audit trail along with historisation and archiving functions. It provides also an interface to Hyperarchive for the archiving of SWIFT messages.
As contingency for other systems, Instructor and Import are used for distributing and routing messages to teams and users, and for generating and dispatching manual instructions and outgoing messages.
Service 3: CFX
The Customer Foreign eXchange (CFX) Application is used by the Treasury and the Back Office teams to handle all Clearstream customers' FX instructions. It provides the users with:
· The collection (loading) of the Foreign eXchange (FX) instructions, either manual or automatic, through different interfaces
· The fixing of the FX rates
· The FX Trade Life Cycle
· The generation of the cash instructions to be released to the NCCIP System using the Import application
The main FX Trade Life Cycle activities include:
· The validation of the collected FX instructions
· The assignment of the FX rates
· The authorisation by Credit and the authorisation by the Back Office
· The cancellation and the repair of FX trades
· The release of the related cash instructions for authorisation in Import.
CFX is also used to generate MT299, to manage the Treasury's customer FX positions and used to compute the daily and the year-to-date Profit and Lost (P&L) reports.
Service 4: DMN
The Depmanager (DMN) application is used by the Operations Control team to handle the Clearstream Bank Luxembourg (CBL) and the Euroclear (EOC) Realignment requests. Realignments are transfer of securities between CBL and EOC depositories.
Depmanager provides the users with:
· The exchange and the validation of the realignment requests and of the feedbacks files from and to EOC through LCS / Bridge
· The necessary reference data related to securities along with security positions, security instructions and Custody events from interfaces with RTS and Dataserver
· The generation of the security instructions and their release to the RTS system using the Import application
· The generation of MT599 messages.
Service 5: NIM
The New Issues Manager (NIM) application is used by the New Issues teams for the processing and monitoring of syndicated new issues distributions. NIM is also used for the processing of the disposal messages for CGN, Registered CGN, NGN and LXN securities.
NIM provides the Users with:
· The download of the new issues and new programs from the core system
· The automatic generation of the MT599 Allocation message automatically sent to the CD/CSP/CSK/LPA/LVO and Issuing Agent (IPA or LM)
The management of the allotment list
ï‚· The processing and monitoring of syndicated distributions against payment and free of payment, comprising the generation of the split (MT599), the delivery against payment instruction(s) and the relevant commitment to pay (MT299)
ï‚· The generation of the New Issue notification SWIFT MT599 messages and their release to connectivity system using the Import application.
ï‚· For CGN, NGN, registered CGN and LXN security types, the calculation of the disposal date and the automatic generation of the MT599 Disposal messages.
Service 6: EPIM
The EPIM function in the PI2 Import application supports the New Issues teams with:
ï‚· The exchange of messages with DTCC (New York), applying the EPIM protocol
ï‚· The interfaces with the RDF system for the assignation of ISIN code for New Issues
ï‚· The Front End functions for manual intervention",Critical,106,not initiated
AID61,Income Monitoring Tool,Application,Not set,None,Minor,Income Monitoring Tool,None,Internal,onboarding,Income Monitoring Tool,Major,LE19,,Major,2,not initiated
AID62,Infrastructure Operations & Monitoring,Application,Not set,Minor,Minor,CockpitMgr is used for monitoring and operating applications in the T&C area. This includes both legacy and x7 series application. ,Minor,External,onboarding,Infrastructure Operations & Monitoring,Minor,LE20,,Minor,4,not initiated
AID63,KADI,Application,Not set,Critical,Critical,Corporate Actions and Events processing,Critical,Internal,onboarding,KADI,Critical,LE21,"·      Event Engine
·      Income Engine
·      Non-Income Engine
·      Archive
·      Custody Reporting
 
KADI is used to handle corporate actions for all balances held in CBF or Customer vaults in CSC business and on CCP trades. IT provides the following functionality :
 
·       Event engine:
monitoring, selection, modification, cancellation and rerun of events. Basis: WSS (securities master data), SPOC for event data in CSS AD-applications-area
·       Income/None Income engine:
all types of interest calculation methods (fixed and variable coupons, different coupon periods, etc.) .
Calculation of payments and bookings on balances and pending positions.
Deduct not valid positions,
calculate coupon provisions,
creation of necessary book-entries,
handling of blocked cash payments,
Lifecycle for non EURO-movements.
Distribute Cash movements to Cash-Lifecycle (EURO) or NCS (none EURO), position movements to Settlement engine
·       Trade and instructions Archive:
Archive SE-, Trades (CCP and non CCP) OTC-instructions for rerun-/cancellation purpose
·       Custody Reports:
various queries /reports for the customers and CBF custody operations department via file transfer, S.W.I.F.T. (MT564, MT568, MT566) and KVGI. Distributing reports to German market. 
·       MT564 neartime (“AD hoc”) information service for late event data changes on processing data (KDOA-MT564) Special notification service for (Main-) Paying Agents via MT566
·       Tax Service
Calculation and reporting of market Tax (e.g. US, Spain, France) and ZAST, support of Tax reclaim service via Income Information service and tax  voucher with administration of tax contingent to avoid supernumerous vouchers.
·       Tax processes covering the German Tax Law (OGAW) Tax calculation for German dividends, funds distributions and income of capital growth funds. 
·       Tax credits after market claim processing for German income events. 
Tax deduction and tax transfer regarding foreign customers accounts to the tax office (“Betriebsstättenfinanzamt”).
·       Audit services for monitoring of potential “short selling” business
·       Audit services for monitoring of tax payments out of OGAW-IV
·       Tax processing covering Fatca (Foreign Account Tax Compliance Act) regulation including calculation, customer and legal reporting to tax authorities.
·       Special data server containing all audit relevant processing data for legal period.
 
The following event types are processed by KADI :
1nn: Corporate actions according to payments:
11n: Interest payments:
110: regular payments
111: accumulated interest payments
112: interest payments on annuity bonds
 
12n: dividends and payments
120: dividend 
121: funds income
122: warrant exercise income
123: squeeze out
124: pay-off/buyback
125: other payment
126: principle rights income
127: capital growth funds
13n: redemption
130: final redemption
131: redemption of participation rights
132:redemption of certificates
133: liquidation
134: additional redemption payment 
140: partial call, with positions change
141: partial call, without positions change
 
2nn: Corporate actions according to changing in positions:
 
21n: posting to the accounts:
210: in case of subscription rights
211: in case of partly rights, stock dividend, dividend option, bonus shares, split, spin off.
213: in case of warrants at automatically separation from cum-warrant-bond
 
22n: taking off the books:
220: in case of final redemption
221: in case of partial redemption from blocked account at maturity date
222: in case of worthlessness
223: in case of partial redemption as of maturity date
 
23n: taking off/posting to:
230: in case of partial redemption to blocked account prior to maturity date
231: redemption in securities
232: in case of swap of securities (different reasons)
235: in case of redenomination
 
251: swap of security certificates
 
26n: taking off the books :
260: ending of rights trading
 
270: renewal of coupon sheets
 
280: offers (voluntary corporate actions)
281: changes
282: general meeting
290: end of term (e.g. Tefra D)
voluntary events (MT566 only)
 
Reverse claim processing:
The custody process of unit quoted securities may occur one day before ex-date or after ex-date,  which is on record date. Record-day-processing is based on holdings on record date, not entitled holdings are paid back by the reverse claims process.
Event types are 110 (flat bonds), 120, 121, 125, 126, 210, 211, 232.. 
 
Market claim processing:
There are 2 ways of market claiming. On CBF-Stichtag for all relevant transactions (SK) and from ex-date until ex-date+20-bd, if a relevant transaction is settled (UK). The two concepts work on different marked areas. Additionally the transactions for markets with record date are adapted
Event type 110 on:
-       Pending CCP-stock exchange trades including late trades and Eurex Repos (SK), flat bonds (UK)
-       XEMAC collaterals (SK)
-       settled non-CCP-stock exchange late trades (UK)
 
Dividends on:
-       Pending CCP-stock exchange trades (SK)
-       settled non-CCP-stock exchange-trades, OTC-instructions (UK)
-       OTC-transactions with depositories between Ex-date and Record-date
-       XEMAC collaterals (SK) 
 
Eventtype 141 on 
-       settled non-CCP-stock exchange-trades, OTC- instructions UK)
-       XEMAC collaterals (SK) 
 
Event types 110, 120, 121, 123, 124, 125, 126, 130, 131, 133, 140, 141, 210, 211, 222, 232 on CCP lending positions (calculation only)
Record date events with event types 120, 121, 125, 126, 210, 211, 232 on CCP trades and lending positions to open risk in risk engine on BD prior to Ex-date.
 
Create additional right FoP-Booking at non-income distributing events (e.g. split, rights issue) on
-       settled OTC-transactions and SE-trades (UK)
 
Change of security, nominal. at
non-income reorganisation events
-       Pending stock exchange, CCP-trades and OTC-transactions (SK)
 
Transformation of pending SE trades and OTC transactions on record date to cash instructions in case of redemption, due warrants or squeeze out (Event types 122/222, 123/260, 124/222, 130/220, 131/220, 132/220, 133/222, 134/231, 140/230/223).
 
Removal of pending SE trades and OTC transactions on record date in cas of worthless withdrawal of security.
In addition the following special services are offered to the customers :
a) Deduction
A deduction enables separation of the whole or a part of the customers’ position from the calculation once, always or automatically.

b) Addition
An addition enables the addition of the whole or a part of the customers' position to that of the paying bank, which, therefore, achieves a higher commission.
 
Interfaces (most important)
 
Data input:
-       KUSTA
-       WM-WSS
-       CBF-WSS
-       LION: Pending stock exchange trades
-       Settlement engine
-       Settlement reporting
-       CASCADE-Lifecycle: Pending OTC instructions 
-       CCP: Pending and settled gross trades, lending positions
-       XEMAC
 
Data output:
-       Cash Lifecycle
-       Cascade Lifecycle
-       Regular reporting
-       CASH2
-       LION
-       LIMA
-       CASCADE Lifecycle 
-       CASCADE RS
-       Vaults
-       XEMAC
-       ICSD Systems (Settlement/Cash Services)
-       US taxapplication
-       Tamaris (French tax application)
 ",Critical,34,not initiated
AID64,KUSTA Test own application (= of own product line),Application,Not set,Critical,Critical,Kusta is the leading system to maintain and provide account master data and member Id's of type CBF-ID for all CBF systems.,Critical,,onboarding,KUSTA Test own application (= of own product line),Critical,LE24,"Data maintenance is via Host Based GUI access, Data Delivery is GUI, Direct Access and CSV files sent. Kusta will be extended in 2016 for Clearstream Lux related to T2S. 
Hier noch der Test, ob man eine Applikation, die zur eigenen Product Line gehört editieren kann.",Critical,21,not initiated
AID65,KV Geld,Application,Not set,Critical,Critical,Cash Administration and Processing System,Critical,Internal,onboarding,KV Geld,Critical,LE25,"KV-GELD is one of the central cash administration, processing and general reporting system for CBF in EURO amounts. It reports cash instructions that result out of SE trade business as well as those based on OTC instructions. Important part of KV-Geld is the maintenance and passing on of payments (via CASH LIFECYCLE to T2CI) to be settled at the Bundesbank on the T2/SSP where the cash balances are held.
 
 
Main functionalities are :
 
•     the creation and enrichment of cash-instructions 
•     the creation of cash-reports for the customer 
•     the cash-reports for legal requests and internal use
·       CBF central interests module service
 
 
Input used for KV-GELD :
•     CASH
•     CEDAR
•     Brokerage (via XONTRO), dues of the stock exchanges (via SAP/CASH)
•     CASH Lifecycle
•     Price differences (via XONTRO),
 
 
Output created by KV-GELD :
•     the different internal (CBF) and external (customers) reports. (e.g. „Hauptbuchbeleg“, „Geldtagesauszug“, “LAST-/GUT-Belege).
•     AURORA-interface with SAP relevant CASH movements and balances.
•     CASH Lifecycle for STD, DD1,  DD2 and DD3processing.",Critical,8,not initiated
